time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
1.3,-13.26501371,19.99999763,3,10.03480396,0,-1E-08,0.4652977,-1E-08,4E-08,-10.71567221,2E-08,-7E-08,79.43965627,1.9E-07,-8.5E-07,0.99971922,0,0.0236955,0,0,-1.08952244,0,0,0,0,0,0,0,0,0,0,0,0,0
1.32,-13.06423833,19.99999763,3,10.04207265,0,0,0.26685889,-1E-08,3E-08,-9.12961451,2E-08,-8E-08,79.01736887,1.7E-07,-7.9E-07,0.99990755,0,0.0135976,0,0,-0.93006169,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34,-12.86335516,19.99999763,3,10.04568891,0,0,0.0999965,-1E-08,3E-08,-7.56108027,2E-08,-1E-07,77.67966011,1.6E-07,-7.2E-07,0.99998701,0,0.00509646,0,0,-0.77120028,0,0,0,0,0,0,0,0,0,0,0,0,0
1.36,-12.66243094,19.99999763,3,10.04627953,0,0,-0.03582606,-1E-08,3E-08,-6.02883694,2E-08,-1.1E-07,75.38062677,1.4E-07,-6.3E-07,0.99999833,0,-0.00182599,0,0,-0.61547698,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38,-12.46152006,19.99999763,3,10.04445675,0,0,-0.14152995,-1E-08,3E-08,-4.55257005,3E-08,-1.3E-07,72.07436562,1.2E-07,-5.4E-07,0.99997399,0,-0.00721299,0,0,-0.46528338,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,-12.26066483,19.99999763,3,10.04081039,0,0,-0.21843919,-1E-08,3E-08,-3.15288319,3E-08,-1.3E-07,67.71497344,9E-08,-4.2E-07,0.99993804,0,-0.01113143,0,0,-0.32291561,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42,-12.05989606,19.99999763,3,10.03589961,0,0,-0.26829908,0,2E-08,-1.851298,3E-08,-1.4E-07,62.25654701,6E-08,-2.9E-07,0.99990655,0,-0.01367094,0,0,-0.1906322,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44,-11.85923379,19.99999763,3,10.03024429,0,0,-0.29329452,0,2E-08,-0.67025422,3E-08,-1.5E-07,55.6531831,3E-08,-1.5E-07,0.99988834,0,-0.01494374,0,0,-0.07070927,0,0,0,0,0,0,0,0,0,0,0,0,0
1.46,-11.6586881,19.99999763,3,10.02431608,0,0,-0.29606837,0,2E-08,0.36689038,3E-08,-1.5E-07,47.8589785,0,1E-08,0.99988622,0,-0.01508498,0,0,0.0345135,0,0,0,0,0,0,0,0,0,0,0,0,0
1.48,-11.45826019,19.99999763,3,10.01852901,0,0,-0.27973986,0,1E-08,1.23585996,3E-08,-1.5E-07,38.82802999,-4E-08,1.8E-07,0.99989841,0,-0.01425355,0,0,0.1226004,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,-11.25794367,19.99999763,3,10.01322985,0,0,-0.2479229,0,1E-08,1.9114606,3E-08,-1.4E-07,28.51443433,-8E-08,3.7E-07,0.9999202,0,-0.01263321,0,0,0.19100244,0,0,0,0,0,0,0,0,0,0,0,0,0
1.52,-11.05772593,19.99999763,3,10.00868796,0,0,-0.20474444,0,1E-08,2.36758033,3E-08,-1.3E-07,16.87228831,-1.3E-07,5.8E-07,0.99994557,0,-0.01043379,0,0,0.23705431,0,0,0,0,0,0,0,0,0,0,0,0,0
1.54,-10.85758987,19.99999763,3,10.00508488,0,0,-0.15486289,0,1E-08,2.57718911,3E-08,-1.2E-07,3.85568871,-1.8E-07,8.1E-07,0.99996885,0,-0.00789238,0,0,0.25798206,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,-10.6575157,19.99999763,3,10.00250354,0,0,-0.1034864,0,0,2.51233883,2E-08,-1E-07,-10.58126769,-2.3E-07,1.05E-06,0.99998609,0,-0.00527432,0,0,0.25091577,0,0,0,0,0,0,0,0,0,0,0,0,0
1.58,-10.45748307,19.99999763,3,10.00091701,0,0,-0.0563913,0,0,2.14416333,2E-08,-8E-08,-26.48448413,-2.9E-07,1.32E-06,0.99999587,0,-0.00287414,0,0,0.2129006,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6,-10.25747335,19.99999763,3,10.00017706,0,0,-0.01994039,0,0,1.44287838,1E-08,-5E-08,-43.89986381,-3.5E-07,1.6E-06,0.99999948,0,-0.00101633,0,0,0.14090037,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62,-10.05747219,19.99999763,3,10.00000213,0,0,-0.00110137,0,0,0.37778167,0,-1E-08,-62.87330997,-4.2E-07,1.9E-06,1,0,-5.614E-05,0,0,0.07894737,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62574699,-10.00000227,19.99999763,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00436052,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62574699,-10.00000227,19.99999763,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00640637,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64574699,-9.80000223,19.99999763,3,10.00000842,0,0,0.00125693,0,0,0.12456151,0,0,6.05891278,0,0,1,0,6.406E-05,0,0,0.01258321,0,0,0,0,0,0,0,0,0,0,0,0,0
1.66574699,-9.60000161,19.99999763,3,10.00006644,0,0,0.00493765,0,0,0.24240167,0,0,5.72622775,0,0,0.99999997,0,0.00025166,0,0,0.02459774,0,0,0,0,0,0,0,0,0,0,0,0,0
1.68574699,-9.39999893,19.99999763,3,10.00022119,0,0,0.01090909,0,0,0.35365544,0,0,5.40026501,0,0,0.99999985,0,0.00055602,0,0,0.03594082,0,0,0,0,0,0,0,0,0,0,0,0,0
1.70574699,-9.19999182,19.99999763,3,10.0005172,0,0,0.01904085,0,0,0.45845674,0,0,5.08097265,0,0,0.99999953,0,0.00097048,0,0,0.04662604,0,0,0,0,0,0,0,0,0,0,0,0,0
1.72574699,-8.99997702,19.99999763,3,10.00099638,0,0,0.02920523,0,0,0.55693847,0,0,4.76829874,0,0,0.99999889,0,0.00148854,0,0,0.05666684,0,0,0,0,0,0,0,0,0,0,0,0,0
1.74574699,-8.79995048,19.99999763,3,10.00169813,0,0,0.04127714,0,0,0.64923247,0,0,4.46219137,0,0,0.99999779,0,0.00210382,0,0,0.06607652,0,0,0,0,0,0,0,0,0,0,0,0,0
1.76574699,-8.59990736,19.99999763,3,10.00265936,0,0,0.05513415,0,0,0.73546955,0,0,4.1625986,0,0,0.99999605,0,0.00281007,0,0,0.07486822,0,0,0,0,0,0,0,0,0,0,0,0,0
1.78574699,-8.39984214,19.99999763,3,10.00391459,0,0,0.07065641,0,0,0.8157795,0,0,3.86946853,0,0,0.99999352,0,0.00360117,0,0,0.08305496,0,0,0,0,0,0,0,0,0,0,0,0,0
1.80574699,-8.19974861,19.99999763,3,10.00549594,0,0,0.08772667,0,0,0.89029103,0,0,3.58274922,0,0,0.99999,0,0.00447115,0,0,0.09064961,0,0,0,0,0,0,0,0,0,0,0,0,0
1.82574699,-7.99961993,19.99999763,3,10.00743321,0,0,0.10623025,0,0,0.95913186,0,0,3.30238877,0,0,0.99998534,0,0.00541415,0,0,0.09766492,0,0,0,0,0,0,0,0,0,0,0,0,0
1.84574699,-7.79944872,19.99999763,3,10.00975396,0,0,0.12605499,0,0,1.02242863,0,0,3.02833524,0,0,0.99997936,0,0.00642442,0,0,0.10411354,0,0,0,0,0,0,0,0,0,0,0,0,0
1.86574699,-7.59922705,19.99999763,3,10.01248349,0,0,0.14709127,0,0,1.08030697,0,0,2.76053673,0,0,0.9999719,0,0.00749637,0,0,0.110008,0,0,0,0,0,0,0,0,0,0,0,0,0
1.88574699,-7.3989465,19.99999763,3,10.01564497,0,0,0.16923197,0,0,1.13289145,0,0,2.4989413,0,0,0.99996281,0,0.00862452,0,0,0.11536075,0,0,0,0,0,0,0,0,0,0,0,0,0
1.90574699,-7.19859823,19.99999763,3,10.01925943,0,0,0.19237246,0,0,1.18030563,0,0,2.24349704,0,0,0.99995194,0,0.0098035,0,0,0.12018416,0,0,0,0,0,0,0,0,0,0,0,0,0
1.92574699,-6.99817298,19.99999763,3,10.02334585,0,0,0.21641055,0,0,1.222672,0,0,1.99415202,0,0,0.99993919,0,0.01102809,0,0,0.12449051,0,0,0,0,0,0,0,0,0,0,0,0,0
